obra,productora,anio_inicio,anio_fin,teatro,gira,activa,duracion,genero,origen,id_produccion,anio_fin_filled
"Romeo y Julieta, el musical",Theatre Properties,2021,2024,Teatro La Latina,True,False,140,Drama,Franquicia,"ROMEO Y JULIETA, EL MUSICAL_THEATRE PROPERTIES_2021_TEATRO LA LATINA",2024
School of Rock,Let's Go Company,2024,2024,Espacio Delicias,False,False,170,Comedia,Franquicia,SCHOOL OF ROCK_LET'S GO COMPANY_2024_ESPACIO DELICIAS,2024
Sister Act,Stage Entertainment,2014,2016,Teatro Tívoli,True,False,150,Comedia,Franquicia,SISTER ACT_STAGE ENTERTAINMENT_2014_TEATRO TÍVOLI,2016
Sister Act,Stage Entertainment,2015,2015,Teatro Nuevo Alcalá,True,False,150,Comedia,Franquicia,SISTER ACT_STAGE ENTERTAINMENT_2015_TEATRO NUEVO ALCALÁ,2015
Sonrisas y lágrimas,ATG Entertainment,2011,2013,Teatro Coliseum,True,False,150,Familiar,Franquicia,SONRISAS Y LÁGRIMAS_ATG ENTERTAINMENT_2011_TEATRO COLISEUM,2013
The Book of Mormon,ATG Entertainment,2023,,Teatro Calderón,False,True,135,Comedia,Franquicia,THE BOOK OF MORMON_ATG ENTERTAINMENT_2023_TEATRO CALDERÓN,2025
The Hole,Let's Go Company,2011,2023,Teatro Calderón,True,False,120,Jukebox,Creación Propia,THE HOLE_LET'S GO COMPANY_2011_TEATRO CALDERÓN,2023
The full monty,Theatre Properties,2021,2023,Teatro Rialto,True,False,150,Comedia,Franquicia,THE FULL MONTY_THEATRE PROPERTIES_2021_TEATRO RIALTO,2023
Tina,Stage Entertainment,2021,2023,Teatro Coliseum,False,False,160,Drama,Franquicia,TINA_STAGE ENTERTAINMENT_2021_TEATRO COLISEUM,2023
Tocando nuestra canción,Teatro del Soho S.L.,2024,2024,Teatro Del Soho,False,False,165,Comedia,Franquicia,TOCANDO NUESTRA CANCIÓN_TEATRO DEL SOHO S.L._2024_TEATRO DEL SOHO,2024
Una rubia muy legal,Pentación Espectáculos,2023,2024,Teatro La Latina,False,False,150,Comedia,Franquicia,UNA RUBIA MUY LEGAL_PENTACIÓN ESPECTÁCULOS_2023_TEATRO LA LATINA,2024
We Will Rock You,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,False,True,150,Jukebox,Franquicia,WE WILL ROCK YOU_TEATROPOLIS (GRAN TEATRO CAIXABANK PRÍNCIPE PÍO)_2023_GRAN TEATRO CAIXABANK PRÍNCIPE PÍO,2025
